protein,DDA_APT_D5_1,DDA_APT_D5_2,DDA_APT_D5_3,DDA_APT_D6_1,DDA_APT_D6_2,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_D6_2,DDA_FDU_D6_3,DDA_FDU_F7_1,DDA_FDU_F7_2,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_D6_2,DDA_NVG_D6_3,DDA_NVG_M8_1,DDA_NVG_M8_2,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D5_2,DIA_APT_D5_3,DIA_APT_D6_1,DIA_APT_D6_2,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_D6_2,DIA_BGI_D6_3,DIA_BGI_M8_1,DIA_BGI_M8_2,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_D6_2,DIA_FDU_D6_3,DIA_FDU_F7_1,DIA_FDU_F7_2,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,1.5160487874571,1.51604576439281,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,1.52253911527303,1.50968991623286,-1e+06,1.27338685665111,1.28896603724564,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
[Protein ADP-ribosylarginine] hydrolase,1.31613847913921,2.05481707496858,-1e+06,-1e+06,1.75035024955887,-1e+06,1.4524567881729,1.56752573937654,1.13623768055486,1.18021706438676,0.897797638609229,0.975710968907304,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,1.17886743986195,1.03375010077624,1.2622540633682,1.54303481358702,1.43532030743706,1.57942895250593,1.38674541782795,1.33024705865349,1.51174915708129,1.56332447038136,1.87171678897569,1.59527941439121,1.48386416111022,1.52576208708375,1.3322768523419,0.963907868512354,1.07829013270412,0.977494315897746
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",-1e+06,-1e+06,-1e+06,-1e+06,2.62683180238874,2.85970425116472,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,2.04583038619234,2.37658424309515,2.58339379934991,2.48469543046115,2.81856912394655,3.09982375592889,2.93779357412187,2.92645770737742,2.8285056889662,2.18062755684282,2.61090683759038,2.39574479425414,2.90908888218175,3.14880219929674,2.61145717158864,2.18949292595068,2.68908939559495,2.54689850849125
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",1.29322847347439,-1e+06,-1e+06,0.324199450426407,-1e+06,0.732351691465924,0.392816899807556,0.369401982709239,1.08225324640426,0.410211884032149,0.573048749327332,-1e+06,-1e+06,0.395374290606521,-1e+06,0.257067498313491,-1e+06,0.302446776360225,0.269849635783207,0.473413081051575,0.408215931092271,-0.230987380856355,0.492003004123656,-0.242248807722256,0.216330691794267,0.391097884349,0.444905473850188,0.2252166301214,0.369595104430373,0.538696379145363,0.273251775658632,0.0684036869248867,0.352917326856571,1.04938574445976,0.739100740071041,0.704571662401137
"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-0.903663028718759,-0.89888724927814,-0.90918758998376,-4.08375216041657,-1e+06,-4.07432532614666,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-4.07909935807969,-1e+06,-1e+06,-3.00279956442203,-1e+06,-1e+06
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,2.8341444645567,2.83009555249097,2.79991947021996,2.34666996646292,2.19779524961693,2.35822092138689,1.99422362189464,1.98033701703245,1.90520219524784,2.35464614406474,2.3106930708343,2.23607437796361,1.99888525400036,1.98230879375468,2.21052528282617,1.88825530117864,1.71303597655319,-1e+06,2.76460060748936,2.72528665301456,2.81752886359594,2.26287293852036,2.17281954917902,2.07947982533686,1.84663187030676,1.97753173763993,2.03194904525925,1.67841290452591,1.76839943673047,1.72414459280993,1.99701559549344,2.01049339838663,2.16756514126761,2.35005686793363,2.42315219548938,2.33018165249488
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,3.76073480348431,3.77793939108754,3.79714969247994,-1e+06,3.98456062147832,3.99761560657411,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,3.05814096060094,4.13763259664509,3.5598018476434,4.52962030236209,3.0989503699873,4.26944072382614,3.85241364530804,3.93765050760521,3.86257984796171,3.8175470967361,3.31887500584745,3.53534557301205,4.33827217803977,3.98520101089501,3.85987071494935,3.66605872700349,6.47221111848251,4.73760799443672
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
1-phosphatidylinositol 3-phosphate 5-kinase,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-0.872511208779263,-0.872511208779263,-0.872511208779263,-1e+06,-0.789621234232318,-0.789621234232317,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
