protein,DDA_APT_D5_1,DDA_APT_D5_2,DDA_APT_D5_3,DDA_APT_D6_1,DDA_APT_D6_2,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_D6_2,DDA_FDU_D6_3,DDA_FDU_F7_1,DDA_FDU_F7_2,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_D6_2,DDA_NVG_D6_3,DDA_NVG_M8_1,DDA_NVG_M8_2,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D5_2,DIA_APT_D5_3,DIA_APT_D6_1,DIA_APT_D6_2,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_D6_2,DIA_BGI_D6_3,DIA_BGI_M8_1,DIA_BGI_M8_2,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_D6_2,DIA_FDU_D6_3,DIA_FDU_F7_1,DIA_FDU_F7_2,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",19.1538858278975,3.94070464348529,11.0660259719921,11.1767547180046,8.93223493259464,9.50695247965613,8.65390558802239,38.9758797082209,45.1628617659809,10.7502160504512,28.3612790876113,24.5248958605853,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,15.7759511546392,6.91185720720986,-1e+06,15.2091639167659,4.81859022826078,-1e+06,12.8399192973257,20.3163174773376,28.3616262204722,13.2202700950295,22.4660491498149,26.1052354055916,13.7140623021814,11.9320114830385,7.10049809950454,11.4203633030573,11.1460967176024,11.176138039278,13.1834553243116
[Protein ADP-ribosylarginine] hydrolase,20.2933839596913,23.5915744595786,22.5288736662202,15.2889236668544,25.6880820751506,21.0400531211752,25.0430040061025,26.4005471455098,28.4779271399525,24.4705750924974,22.0578433253451,30.707482144868,26.9025500855497,-1e+06,20.4733294762876,29.1103148969914,21.8459335544069,23.5976617633959,30.8213598117958,32.9730212388522,38.0436335968684,31.5072709882137,37.3578905564282,26.28923424924,25.4289586100906,33.3417237937887,32.4127154462698,29.187970091576,32.8157216191281,30.8630376664748,41.014604691885,44.6625321940264,44.0422959302405,33.9116492724626,29.7633848276005,29.4641712933874
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",28.9391296593873,28.9175231889662,26.7092179194872,29.6280807380818,26.6242707625674,27.0515378952918,27.5606993161773,24.5657449350185,28.5020617498309,27.7445381400475,23.9127504205792,29.8580278550724,35.4691759930216,29.002047947381,27.9820652404661,33.6272983607449,27.8796070809178,26.2799388752538,32.9556773624112,29.8694302042956,26.55024134883,29.5602262880487,28.1923248612152,28.3880079136674,36.0707577374105,35.8695352102089,33.9363767169103,37.9101246658959,33.8939297175466,34.3441222899154,40.8326068048077,42.9856033859207,36.052420122254,40.012335989019,38.420849303651,31.5314425111569
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",27.9539632163047,30.1206979164833,28.0791320374219,30.958531139192,28.6023327145331,28.3413638173559,29.7085611907718,27.084560357397,26.2042600402378,29.350921300673,36.1152338150844,25.5022088987626,31.5005263002138,27.6382209588397,-1e+06,33.5769499662771,-1e+06,27.9104036664627,40.3583251340878,37.9718987956616,40.4144597137132,40.9852044374794,37.8080788624138,28.4684462250714,32.5208836262432,31.2455633222592,29.7611776855052,30.1843552490745,28.9978099104367,27.4307575995712,42.2811361259815,42.3333464381487,38.9793858577912,51.2264155625435,43.5183649571846,37.4361736792609
"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",11.456940744985,10.3355707916481,9.11621818246307,12.1063288225607,10.189315538393,9.3921208413424,10.7106963829484,11.4136527744835,13.6838300267276,11.4087959082761,13.0065709874383,13.8757423564628,-1e+06,10.8568257736375,11.8321432201572,14.5174914004309,-1e+06,10.3837600173848,11.3267501702916,10.133442107341,1.92665713586673,-1e+06,7.03929666453105,0.712103390840654,-1e+06,1.95189519262153,3.90118444325781,2.72093192909911,-0.979433948757108,-2.20017466515668,15.9641259021488,14.3330606071698,12.01438570986,14.1195741135707,15.4347750256362,10.6224231716598
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,50.2716741927507,32.9305769496364,42.7312275161291,35.1077572207874,28.4067605208948,27.6417447658687,31.1049829866354,31.3980960588702,24.5644362895504,44.6641116529571,28.0165427867247,23.9015570306399,38.6959319635017,-1e+06,32.7149071047285,41.7879941636362,44.2985101404433,31.2222621880324,31.6055358147201,31.3816599634292,27.1189082731101,32.2771005463367,25.1036085120635,26.4416654020848,43.3528361589314,37.4864422382741,28.8334210415109,40.4164637002044,27.8819481198907,29.0436916002822,33.5701319364972,38.3463920235794,21.4268159396299,30.1342713182749,41.2474946474124,21.7984191976186
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,4.71592068467005,4.88959525342472,4.18348999555161,4.52313860751039,3.84825050428415,7.03487013910436,9.50616336350712,5.26688421141217,6.63207751808146,9.87243237793317,7.94459677427267,9.41259450566431,15.8753083081093,13.1728993739125,5.94344678607521,16.5556563381904,8.45877256393005,7.14399126873209,19.8712317759717,20.8224508934271,17.6896458755254,22.3417567057622,19.2989119204555,19.2588641973663,21.2672094295495,19.3706122909208,14.4020306244569,19.0133822855094,19.6956517496083,16.1545971350749,17.8708291782191,11.2481425420544,10.8337141058969,11.6243035615485,9.84378802778591,18.4902521449454
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,8.19727420037024,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,7.34304801762811,9.61970839263083,7.79098422088077,9.70212175484384,10.8279536047858,8.11503205724719,10.9531023799951,-1e+06,-1e+06,-1e+06,4.73835342304064,8.99798446825567,9.30985389537662,5.81661815003273,13.9965248902366,10.3201048895739,6.46648502838864,29.1585449906816,9.5915945675581,23.0274961069318
1-phosphatidylinositol 3-phosphate 5-kinase,0.710126319843545,-0.181658535007583,1.18681567405917,0.377600981330755,0.534389080948485,0.234522116654565,-0.709693909860315,0.184428555320008,-0.563231107011002,-0.881634572385535,0.122614485564679,-1.01779981125776,-1e+06,-1.68815564453209,-1.00692363404693,-1e+06,-1.63332147623521,-1.05434088162136,-1.61725859375608,-1.22267208244779,0.0329047146992552,-1.73155719351385,-0.560089816182745,-0.251803475629295,-0.782305526610993,1.18475066591485,3.85493076155703,-0.697461637624657,0.417574676104643,1.54038821443314,0.685468425847435,-1.34144821579682,-0.528964977726025,-0.341088918942895,-0.573642920437665,-0.0574284750949048
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-2.85115002496118,-1e+06,-0.544422804560999,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
