protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_F7_1,DDA_APT_M8_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_F7_2,DDA_APT_M8_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_APT_F7_3,DDA_APT_M8_3,DDA_FDU_D5_1,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_M8_1,DDA_FDU_D5_2,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_M8_2,DDA_FDU_D5_3,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_FDU_M8_3,DDA_NVG_D5_1,DDA_NVG_D6_1,DDA_NVG_F7_1,DDA_NVG_M8_1,DDA_NVG_D5_2,DDA_NVG_D6_2,DDA_NVG_F7_2,DDA_NVG_M8_2,DDA_NVG_D5_3,DDA_NVG_D6_3,DDA_NVG_F7_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_F7_1,DIA_APT_M8_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_F7_2,DIA_APT_M8_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_APT_F7_3,DIA_APT_M8_3,DIA_BGI_D5_1,DIA_BGI_D6_1,DIA_BGI_F7_1,DIA_BGI_M8_1,DIA_BGI_D5_2,DIA_BGI_D6_2,DIA_BGI_F7_2,DIA_BGI_M8_2,DIA_BGI_D5_3,DIA_BGI_D6_3,DIA_BGI_F7_3,DIA_BGI_M8_3,DIA_FDU_D5_1,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_M8_1,DIA_FDU_D5_2,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_M8_2,DIA_FDU_D5_3,DIA_FDU_D6_3,DIA_FDU_F7_3,DIA_FDU_M8_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,,,,,,,,2.01134323653266,,1.86657321814728,,1.8475318457548,,2.08604839993952,,2.00576621359341,,,,,,,,,,,,,,,,,,,,,,,,,1.01555798450045,1.20669776676028,1.11079268760022,1.01259683968447,0.978620921595985,1.23706203075082,1.42516584500815,1.0600062367303,,,1.28876681502552,,,,,,,,,,,,,
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.874016069957757,,-0.26907926350854,,,-1.10909362330792,-0.372040733232308,,-1.43249150024267,-1.36381497489577
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11977535899408,,-0.859501702624912,,0.663754228043503,,,,,,,2.82147575534507
"10 kDa heat shock protein, mitochondrial",6.23367268241477,6.29065056500409,6.34310079714198,6.38728917280221,6.2331047826428,6.60142990489653,6.33119847708838,6.08376123010649,6.30595190712143,6.52901561197176,6.60351230013175,6.10827462913398,6.47170309476626,6.4486392274707,6.18728093338292,6.11565921383926,6.5699286793079,6.47891189251488,6.45931024676853,6.05650724803433,5.92697755702638,6.18904210933908,6.29106727264046,6.32205414770866,6.40067775514423,6.48000980222187,6.44941540122195,6.30026988550389,6.22432289141678,6.51373844978195,6.30990227094147,6.12228396959824,6.41160748055459,6.46952869115973,6.51752999163324,6.30350604846761,6.33280198451957,6.39812787758786,6.464374366984,6.15493506191467,6.3434670363866,6.38921777523474,6.38337543255215,6.16981072535447,6.33887822143867,6.39512934198369,6.38615449449932,6.14592942367237,6.3280248703536,6.37971817941936,6.37870845717023,6.15027909314222,6.32414310216715,6.39496706809135,6.50322275055268,6.15164799331837,6.31915151074372,6.39239857997837,6.3726647924828,6.11661188921323,6.31108056929997,6.37895884634323,6.36606786916538,6.06463004169072,6.37120279523853,6.40423236459574,6.36888451287643,6.11014509287632,6.36228833152927,6.37450493336793,6.3643973049711,6.16455689542562
14-3-3 protein epsilon,5.63485371175517,5.53225355691416,5.5814854488171,5.7130217592022,5.61508397376251,5.51369468166083,5.51149700171431,5.70192275886533,5.58536240517063,5.61899190522506,5.57955884570393,5.71121699874016,5.67570939759362,5.62705484639558,5.61753967965288,5.76617113680092,5.71575424943331,5.57173818770997,5.54965337714289,5.62912194608902,5.52880280384218,5.45196142129447,5.56305911807879,5.45009120906041,5.7887928848155,5.36792353850431,5.52373405075379,5.54368941222976,5.56131905608901,5.66737652293916,5.56477798462277,5.67219324002011,5.65062882890729,5.59488017279426,5.5527254392859,5.61812931195169,5.76042100108921,5.69531318425296,5.7175285143151,5.72128819044577,5.7597618320821,5.55437037460068,5.46238689564925,5.52497900246501,5.62769775142849,5.17838803206398,5.40189628303547,5.48731985156051,5.61426627043281,5.5380146537873,5.50765492789776,5.6201755417139,5.64581285318197,5.29942533985208,5.6095107137385,5.58036217807817,5.6631083013286,5.59307356924716,5.53900054883841,5.61789694980994,5.5735197944761,5.48618805857837,5.48333659209071,5.51870526742239,5.59432727841149,5.50607190455858,5.49600070456096,5.61245867673414,5.591598645615,5.55184988530245,5.44688176586107,5.6746903180889
14-3-3 protein sigma,6.21646472787488,6.05169850684734,5.99635872163835,6.26037954389181,6.07927907970307,6.1269024312917,,6.20818518384616,6.15057733224117,6.06824323197268,,6.17722682270449,5.15860246203008,5.05897022656095,5.02292800070514,5.26022011899462,5.27536903363033,4.99319260731424,5.03027989508693,5.18771576835816,5.19558590115568,5.07593633269228,5.01676063159234,5.52090472363037,5.79778825945004,,5.67001987363253,5.7733220023481,5.71157125360659,5.79108072257656,5.79494812517817,5.83207406654398,5.86243333894509,5.78702985613087,5.68961083980416,5.83189030873785,4.80421620002932,4.76877265717783,4.64437152017933,5.24143540953078,4.72160523348311,4.81709723114345,4.89469723011078,4.84198018970731,4.76678327193811,5.0459057250208,4.68971875834634,4.84180558252836,5.22551082714998,4.90668660525051,4.78089541467525,4.9357096353407,5.03294937449101,5.03097808656895,4.49670906835098,5.31666424631932,5.6194950877269,5.16519985165531,5.32056805368655,4.75926915038337,,,,,,,,,,,,
26S protease regulatory subunit 8,3.91639050730405,4.14007384430569,3.89486394391478,4.10542567115062,4.04977189827252,3.87912672977511,4.04141269903915,4.08216880153374,3.92850642815,3.97329746768309,4.09079524319993,4.06921603394023,3.76075647937985,3.89999154701724,4.00800949172932,4.09091929766158,4.48273559463921,3.77413979460283,4.09332244972329,4.06597773393308,3.87363446969805,4.01112054430622,3.92647952997365,4.10399589805914,4.08491934353047,3.9277862162182,4.08187990282667,3.98721005374036,4.00583073721675,4.15362583679272,4.00881996758802,4.03600477034461,4.01838403224884,4.08346552552812,4.05099115671807,3.87550292886957,3.82801215644544,4.05966642223178,4.07746080448384,4.04319174192298,4.06144000960621,4.18225622618862,4.08395080895803,4.00265187157512,4.09338248772839,4.11547608435589,4.06217255641747,3.9356676133,3.98447109652679,3.96945375135021,3.97993443783607,3.93483910029397,3.84106695119648,3.99550027722419,4.11715003131791,3.95539231002473,3.9716727992746,3.98302749882374,4.04323456019821,3.9683184746875,4.02092303497982,4.05644541668956,3.87493236534222,3.89772801332066,3.6567386693958,3.99541666092972,4.06740562244688,3.96117490926849,3.98975560987619,4.03975273496442,4.01580294706074,3.75735785843802
26S proteasome non-ATPase regulatory subunit 2,4.46443831525318,4.33591128049642,4.28335611656678,4.29967908745741,4.32296232559537,4.29385570956474,4.34598107078525,4.18565112714431,4.28306232021911,4.13343782206713,4.13160999655159,4.36545939148117,4.34122709047716,4.31853668471185,4.36719797418983,4.29301938232109,4.37904903001401,4.37613647992747,4.3357624079843,4.20983270677058,4.08791912806858,4.33145403062815,4.29208444823817,4.36592751307079,4.25930879263357,4.34964078998352,4.47193074996257,4.28388371974796,4.40541580341472,4.3395649400421,4.39611594459185,4.23489753412992,4.17385919352797,4.18076792502645,4.41770817468416,4.33974302698497,4.19568775050186,4.57214591562126,4.48673264036279,4.057828449875,4.37646933020252,4.50617398501836,3.81060151871162,4.2529090116168,4.41593699910425,4.67481316207143,4.14014878472961,4.50951496780367,4.22649754851089,4.35927650939422,4.30500055109177,4.23266009619633,4.22665322116375,4.36631723959263,4.06810504898064,4.23696678269544,4.19164456047273,3.93054615527819,4.25044947045644,4.1605211667671,4.19093127835484,4.29531210612154,4.29926551449588,4.13336163923957,4.21601351242805,4.27583567756154,4.34038758494636,4.15450864685413,4.22742702891195,4.29301386559888,4.14507352171101,4.2022750508537
3-mercaptopyruvate sulfurtransferase,,,,,,,,,,,,,,2.94764975692411,,,3.04064286280249,,3.01894722208699,2.97084473202142,2.89710818172134,,2.6437356855559,2.93485770663933,,4.29184321163644,,,3.05472004806885,,,,,,,,1.59341258667665,2.0226863898443,1.00147075166256,1.11939086718111,1.60910787320334,2.87225264064085,2.73972030566701,-2.42671554189565,2.98449012028711,1.57475757071686,1.4160216346526,1.0042817796571,1.34667294087928,0.999235639539913,1.50886727874207,1.7466161810283,1.43735173957203,1.69342050244287,1.39938799379106,1.74687564705975,1.53451679236325,1.59849944781532,1.31926062662894,1.71977674393431,2.20982214810829,4.47028593865813,,,,,,,4.33452995830685,,4.49137218177848,
"39S ribosomal protein L18, mitochondrial",2.88307375169771,2.46648052100444,2.62378057085605,2.64822585708626,2.96615189563887,2.55438986116529,2.58829188044794,2.65105173907716,2.76581242022037,2.7263460301424,2.76964456212117,2.57353948040936,2.40092648457929,2.37763124943609,1.90023964144051,1.70149827509919,2.34779268403098,2.31147162908081,2.51001389009219,2.11202810333824,1.92472423857056,2.41018224569656,2.24683114469732,2.77958797687666,2.9413871241051,2.57681820761654,2.59444635659299,4.3992005932749,2.80391991070486,2.96597998980452,,2.92235079706424,,2.97172628022994,,,2.86067726558765,3.03339833247557,,2.01807804610889,2.79876531095774,2.78244965084897,3.19896236624798,2.78042122487844,2.83905040853994,2.51074180985763,3.20747815610302,2.56709076494047,3.54501387985918,3.35365194209811,3.16854850331695,3.2315023717971,,2.59121307641935,2.69625552178528,2.54003433246293,3.5607963207306,1.91045515173571,,,1.94201315018876,1.7744499476981,1.75473243114232,1.59285052068286,2.06608656527666,1.82303446591259,1.98546718737045,1.90914361958367,2.0093202025448,1.8139496240667,1.63789749485022,1.71141974698529
