protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_F7_1,DDA_APT_M8_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_F7_2,DDA_APT_M8_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_APT_F7_3,DDA_APT_M8_3,DDA_FDU_D5_1,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_M8_1,DDA_FDU_D5_2,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_M8_2,DDA_FDU_D5_3,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_FDU_M8_3,DDA_NVG_D5_1,DDA_NVG_D6_1,DDA_NVG_F7_1,DDA_NVG_M8_1,DDA_NVG_D5_2,DDA_NVG_D6_2,DDA_NVG_F7_2,DDA_NVG_M8_2,DDA_NVG_D5_3,DDA_NVG_D6_3,DDA_NVG_F7_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_F7_1,DIA_APT_M8_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_F7_2,DIA_APT_M8_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_APT_F7_3,DIA_APT_M8_3,DIA_BGI_D5_1,DIA_BGI_D6_1,DIA_BGI_F7_1,DIA_BGI_M8_1,DIA_BGI_D5_2,DIA_BGI_D6_2,DIA_BGI_F7_2,DIA_BGI_M8_2,DIA_BGI_D5_3,DIA_BGI_D6_3,DIA_BGI_F7_3,DIA_BGI_M8_3,DIA_FDU_D5_1,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_M8_1,DIA_FDU_D5_2,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_M8_2,DIA_FDU_D5_3,DIA_FDU_D6_3,DIA_FDU_F7_3,DIA_FDU_M8_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,,,,,,,,1.5637940718355,,1.42586046613839,,1.39919115982575,,1.62147218688867,,1.45151792389571,,,,,,,,,,,,,,,,,,,,,,,,,1.38855798043563,1.58915449469539,1.4684398951549,1.41605745620054,1.3502027114347,1.59657167224966,1.80089302755896,1.41671307723914,,,1.65058302093538,,,,,,,,,,,,,
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0064883283533,,-1.17853671052539,,,-2.10143429738621,-1.17853671052539,,-2.0064883283533,-2.10143429738621
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10 kDa heat shock protein, mitochondrial",5.40133535552957,5.49144344418435,5.55422240077076,5.40062251668618,5.46802810538392,5.61981504279843,5.47379079476601,5.25610481081007,5.41751738292737,5.61034629432963,5.61000031086494,5.21450723154378,5.60656722026548,5.63923423643893,5.35141593730421,5.40920852959401,5.71855273429484,5.65878997072206,5.74809773011176,5.42225027143453,5.33579917970698,5.57945982921387,5.65540866466875,5.72257438024953,5.81278069340378,5.97735411339879,5.9867538241011,5.70402596103109,5.75281231407758,6.02672075190207,5.92283537738996,5.63922812607566,5.86646592803401,5.98107205447029,5.98484633970145,5.77682302225362,5.61599136641319,5.72900198285847,5.7585919191705,5.45558576195821,5.64166897612505,5.73841085001697,5.77367144961465,5.45475695236762,5.66328436256188,5.74609876349504,5.7623994429111,5.46886249315096,5.74078195566075,5.78541037535744,5.77165981369954,5.52002372405619,5.66772958456388,5.79675242105512,5.85344148440794,5.55580135888705,5.69669766640699,5.77809911087935,5.7830136233463,5.44932798137544,5.77401011663549,5.81937872234428,5.84203639230781,5.5069658495084,5.79526399630476,5.85869475430773,5.814165051102,5.52611748815929,5.75189632935511,5.80097175125012,5.7831963873416,5.58516572312515
14-3-3 protein epsilon,6.19268144236576,6.10251216480952,6.27615843527264,6.38179312326126,6.13774587491422,6.04497834790323,6.14887387477682,6.36986866796101,6.16480007299007,6.18153253412325,6.2676101374511,6.32994416548657,6.20850444881566,6.09492454587765,6.07827028603232,6.22390380192468,6.34294640048523,5.98190481471683,5.95612031499543,5.99674759596076,5.83449087807491,5.54289855678917,5.66784836908789,5.45019189461099,5.73298232560285,5.35237562990688,5.4563528241167,5.50205359273073,5.49527405205501,5.51992650482683,5.59457775290502,5.53999415295434,5.47283966025041,5.75516159479195,5.53357567577088,5.71074756466547,5.95723523953936,5.91209839332992,5.95468871010127,5.9735309019783,5.99475842248668,5.45463843556222,5.94553415113689,6.05569860297985,5.49553623163586,5.324160948067,5.91780550627092,5.9895561461552,5.74122670122722,5.70443971619,5.6694786117083,5.83766787554744,5.80505906064233,5.69648867009901,5.78752496418362,5.84990870020382,5.88694856295937,5.68843361826457,5.75396071126996,5.8019242067079,5.73425896523173,5.64623033847485,5.6612412423962,5.72403127239262,5.69971769267182,5.68105330808861,5.70287048380006,5.84470584693193,5.79283586338329,5.71664241346828,5.6634700980899,5.94673672686624
14-3-3 protein sigma,1.37196677158915,1.25284052433595,1.22798396063619,1.60269855589069,1.20869400475885,1.27037879292226,,1.4988562594958,1.47296214706319,1.11074190953911,,1.32497631378702,1.12080261836241,1.15022491940058,1.04680371175981,1.27806055593594,1.17921027579842,0.992358760557159,0.964820006178437,1.27725620482327,1.16205814070455,1.17833094351317,1.11452089505736,1.74966600176362,1.177619667756,,1.04453769045343,1.1402286150927,1.10430954205113,1.18786923420154,1.14322776362363,1.36628890341727,1.29822733314203,1.09629530131923,1.05201564707756,1.16759928181185,1.17785971133282,0.935066905863304,1.37991627104753,1.71176074447686,1.14735905500882,1.13163438645972,0.962670863862111,1.31640303107335,1.1814904152849,1.26478201832921,0.902986137733524,1.13399820028299,1.47543131311849,0.976724520586305,1.0249361141015,1.16566995729875,1.16901504507034,1.08699643132203,0.758992515865397,1.3546903739476,1.67803387388841,1.12764555633351,1.50997453445783,1.01881458957441,,,,,,,,,,,,
3-mercaptopyruvate sulfurtransferase,,,,,,,,,,,,,,6.28157299749341,,,6.39080325447178,,6.36726826976679,6.34487286178437,6.27284718036851,,6.01150727031144,6.4127940350548,,-0.0678423497276244,,,-0.0358404689262839,,,,,,,,0.248669192414496,5.03954714872881,-0.282424311270172,-0.199999826731291,-0.0286229376002778,6.26122851137624,6.12808806557263,-3.43596788287418,6.50782484662532,4.72023120314788,4.70531286943557,-0.0120175827916496,5.27008691409347,-0.226100042226355,5.58166367270019,5.8304033300942,5.36574431483521,5.76849555256815,5.35375350757981,5.87138693595297,5.61184219226706,5.59818946825909,5.53777839394836,5.87475575230068,4.57504086614454,6.78749206386068,,,,,,,6.72267448321895,,6.82460866013653,
"39S ribosomal protein L18, mitochondrial",0.824951664927647,-3.33856272215125,0.674533480670054,0.596748798340782,1.61867620397763,-3.21436890324548,1.21871860163946,-3.19382886390564,1.40823447563974,0.848292678844617,1.45868960334179,0.527100898730158,1.04789635454822,0.899750113066295,1.48642489124194,1.26795545590515,1.27741805639386,1.11310894844289,0.823598193108465,1.63030519014051,1.47999946553009,0.837709047097211,1.78113544873294,1.82233129467436,-3.22769565367734,-3.47230921702314,-3.54340179739185,1.61197039862798,-3.31442854735977,-3.12321591454576,,-3.13957848808177,,-3.20584475662958,,,1.9204252368213,0.57317292271458,,0.531101205747693,1.82479043395632,1.88296707130177,0.481117997836348,1.90826336891977,1.93670319536601,1.51874294657338,1.39438831871606,-3.79620095830813,2.12443345698124,1.94789031723598,1.76444008058211,1.85190885843369,,1.22372375618088,1.22759183250375,1.2593367556253,2.28408919232293,0.54378086291634,,,0.894652487491034,0.772936828978508,0.803388193898669,0.700932266906875,1.19059525531717,0.89214471034861,1.15619130578052,1.03881234391616,0.98789385128117,0.870087780500251,0.405557027013198,0.728443296553317
"39S ribosomal protein L33, mitochondrial",-5.65580488460946,-5.27805873623814,-5.37999299722563,-5.62580917555475,-5.77975109561461,-5.98342528996169,-5.86471493074879,-5.715170898405,-5.95815679190392,-5.96327496132243,,-5.51620693966826,,,,,,,,,,,,,,-6.19634616173182,,,,,-5.6337145173433,,,,,,-5.48619767752374,-5.51853440434243,-5.8010062215341,,-5.48018276379034,-5.70900770856888,-5.77393800923217,-5.50375720114707,-6.23418348553094,-6.31570882018333,-5.73570247517629,-5.42349666700059,0.305481234657926,0.0793200331097633,0.256753144543686,-0.0691780433684904,0.787198188866366,0.0686794683950853,-4.80518293443886,0.632818817117425,0.960237712586142,-0.0578708765101945,0.392848689081345,0.872951861640997,,-6.08242424041083,,,,,,,-5.92617891882549,,-5.27053387102288,
"4-aminobutyrate aminotransferase, mitochondrial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
