protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_F7_1,DDA_APT_M8_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_F7_2,DDA_APT_M8_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_APT_F7_3,DDA_APT_M8_3,DDA_FDU_D5_1,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_M8_1,DDA_FDU_D5_2,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_M8_2,DDA_FDU_D5_3,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_FDU_M8_3,DDA_NVG_D5_1,DDA_NVG_D6_1,DDA_NVG_F7_1,DDA_NVG_M8_1,DDA_NVG_D5_2,DDA_NVG_D6_2,DDA_NVG_F7_2,DDA_NVG_M8_2,DDA_NVG_D5_3,DDA_NVG_D6_3,DDA_NVG_F7_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_F7_1,DIA_APT_M8_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_F7_2,DIA_APT_M8_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_APT_F7_3,DIA_APT_M8_3,DIA_BGI_D5_1,DIA_BGI_D6_1,DIA_BGI_F7_1,DIA_BGI_M8_1,DIA_BGI_D5_2,DIA_BGI_D6_2,DIA_BGI_F7_2,DIA_BGI_M8_2,DIA_BGI_D5_3,DIA_BGI_D6_3,DIA_BGI_F7_3,DIA_BGI_M8_3,DIA_FDU_D5_1,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_M8_1,DIA_FDU_D5_2,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_M8_2,DIA_FDU_D5_3,DIA_FDU_D6_3,DIA_FDU_F7_3,DIA_FDU_M8_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,,,,,,,,2.51425068144679,,2.36948066306142,,2.35043929066893,,2.58895584485365,,2.50867365850754,,,,,,,,,,,,,,,,,,,,,,,,,2.0243922280836,2.21553201034343,2.11962693118337,2.02143108326762,1.98745516517913,2.24589627433397,2.4340000885913,2.06884048031345,,,2.29760105860867,,,,,,,,,,,,,
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,3.20498989780024,2.47933190567217,2.97074544079324,1.12816858656915,3.060729811274,2.24573165700704,2.76305198777181,2.10861992305072,3.19099066712242,2.34874144187641,2.87652382527567,2.06204936603993,2.90299991184515,1.98269919844657,4.54849349279583,1.58493440133314,4.64944173943787,2.40726983365878,2.1799578863407,1.66378197472159,2.95163971106955,1.98360501884933,2.06651528340867,1.79512383597927,3.79660698425142,2.77725419219868,2.8723966805499,2.23347559063514,3.89582388571348,2.69973206538094,2.84287295494827,1.06673684391836,3.38826681891332,2.51651380552305,2.06655676604154,1.06673684391836,2.7734621485306,2.62287828790309,2.69259435953532,2.2467695436106,2.75924180725909,2.61429942026944,2.81375594988098,2.39461064317765,2.86008049370027,2.60596173258047,2.70941809603627,0.860183778392645,2.39332400429127,1.8508900677987,3.1771024118853,2.60020104617988,3.25344667692639,2.00792599336559,1.92483514019142,2.57173402228008,3.68567032771159,1.96606077772287,2.71581711699828,2.65856769852619,2.35496588190567,2.45209969418474,2.60245435225293,2.08158884283373,2.7011948697599,2.45283485739606,2.74190302241386,2.48806265609543,2.26669700854213,2.49891277292699,2.90116713179492,1.29033338284858
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.37591756673044,,-0.770980760281223,,,-1.6109951200806,-0.87394223000499,,-1.93439299701536,-1.86571647166845
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41239283085016,,-0.566884230768838,,0.956371699899577,,,,,,,3.11409322720115
"1,4-alpha-glucan-branching enzyme",2.92693669185287,3.52308120640299,3.92887573606173,3.19769076549032,2.33118700149766,3.06001010167991,3.95282815538131,3.55684125199511,3.17332780537851,3.48056499507972,4.2174008644456,3.58972577418565,2.68152598178433,3.26693123407532,3.5747882041857,3.05234654008811,3.1548698339206,3.32748230442944,3.62396896832518,3.56161225238812,3.02254578288925,3.33125366657257,3.86714592639783,3.4174803552274,3.27699075591281,3.39518351248314,3.6873058562374,3.90910389117557,3.09694141896253,3.30268086451183,4.2745322537372,3.28776650277327,3.01955521132535,3.47941617446826,3.67385775510837,3.48662427908089,2.46611000696139,3.79873600896228,3.99179372004477,3.47348702599669,2.53260122691168,3.58271555077545,3.32868106438185,3.93828082023774,3.00755469225987,3.08053772598102,3.37544117010237,3.83526273871915,2.80411044722689,3.5729700923841,3.37709737735505,3.23875463427824,2.69225565838124,3.15020805965984,4.12661300644256,3.64249963487102,3.38923635200241,3.37797030092616,4.00767873769886,3.21145742997594,2.85933093484508,3.59372897628545,3.40590983576455,3.21948706313712,3.0975780544862,3.25467051172074,3.92349828652936,3.35414435570575,3.21519519583383,3.35326582863311,3.87927281426935,3.42519203083309
"10 kDa heat shock protein, mitochondrial",6.23148956374523,6.28571301438287,6.34796366610445,6.33160362995584,6.25947911850572,6.56055488693229,6.3356603400122,6.10246005690604,6.32812370705782,6.49098504304806,6.53570577846582,6.09312265022943,6.42223629841915,6.44255521728268,6.28022855771882,6.12532596493177,6.50054046656197,6.46000101401217,6.42181792426724,6.07829323968175,6.07550743070652,6.25145396493964,6.29299131484737,6.25637783460135,6.35561673309819,6.44675952514809,6.41605288037191,6.23632886703746,6.22796752505904,6.47483130332929,6.30629520215812,6.13448168720749,6.38136826688818,6.45038911007805,6.46413486515122,6.25198283387115,6.34115889755396,6.35978878086565,6.53550156583805,6.12681893401313,6.36250741652593,6.34574744963268,6.38518750493632,6.15848662480204,6.36124450574254,6.35730074190006,6.3793315981468,6.10804546703553,6.33163597846338,6.34276326425907,6.39016796042275,6.14586073372641,6.34294055359299,6.38982917853892,6.6248363551815,6.14773450872936,6.3211839225729,6.37006616439784,6.35963361965335,6.06987754162736,6.33625772003989,6.36256152474708,6.37943001014166,5.98026141414527,6.47068372162501,6.42042600034342,6.38270322406704,6.08359195400148,6.45329249397959,6.35475579864661,6.37665110253519,6.20037553316334
116 kDa U5 small nuclear ribonucleoprotein component,3.65655440263557,3.55638441523718,3.66422079228745,3.79412808117619,3.70970684359854,3.30420809258227,3.50981523883571,3.62376370983681,3.74917942318527,3.58007375163244,3.52512862618759,3.71872647003948,3.70224788155194,3.48983121830171,3.54607792528117,3.6527076985609,3.55280206022278,3.66600197580319,3.68532904921236,3.69389229497547,3.86073417857585,3.63776101594372,3.39998931143833,3.62710615941389,3.63754866858303,3.94830381051226,3.45139764357606,3.57729784801114,4.03241433498246,3.94548368664504,3.38362530281031,3.96191735578771,3.92438352530567,3.99138375329529,3.46918335693489,3.59877453071953,3.24030144957746,3.46913762830184,3.63727219029831,3.75668965358688,3.50597711893429,3.33419406265895,3.66517403732654,3.68727115004103,3.61366213129346,3.54064243135989,3.72892215990294,3.93477390720459,3.62547309863933,3.48538203416416,3.69499434381097,3.99885495390964,3.81196054169062,3.76878568913363,3.52793109936644,3.49549198581327,3.66086398270258,3.47839298036547,3.56362868422202,3.53839598307305,3.58153207505314,3.49672941609092,3.6405085425856,3.439366314491,4.7040505342686,3.43092562992558,3.56837490297108,3.57063999304674,3.6417131775255,3.39768549910287,3.66400543106945,3.67271694984784
14-3-3 protein epsilon,6.4376565934893,6.54191103792832,6.39616368125278,6.38296297205987,5.61246483961301,6.47424652348192,6.39233096863075,6.40713787925434,5.58050157566335,6.47444601622302,5.54146087131064,5.44042670491227,6.26241776909393,5.99579510685957,5.77551194408061,5.72838898263177,6.35747166451943,5.5011046930906,6.08719235228726,6.10691198843214,6.26044692171686,6.00099526517388,6.10981490371484,6.10982485992493,6.37203328069238,6.40676633991182,6.28872240027985,6.37312450678357,6.44528840108789,6.3953196213052,6.34966997379317,6.26560413966669,6.43685080354006,5.47264136642844,5.54426397902087,5.47446667393041,5.88213592013057,5.70668082071063,6.02776131984857,5.74467766392117,5.80335415221147,5.86430196651665,5.98674442345462,6.08906800267388,5.87800284795792,6.04059926659972,5.91632939038334,6.23629382616876,5.94277266657582,5.84174820773856,5.7006821643662,5.91571158399627,5.80872026927518,5.82575172264987,6.0760904363366,6.08522494703388,5.8859953939852,6.46732552901468,5.8012415422998,5.82017446605816,5.99584598728077,6.01050913798704,6.06642383916562,6.02628871775947,6.10075540752476,5.5242301218017,6.00003375621061,6.11734213478055,6.02698897925668,5.9146560716998,6.04386198988368,5.74976963051723
14-3-3 protein eta,4.42422149831869,4.2370047770325,3.62270680890434,4.3027325663496,4.4252574223407,4.29293428478452,4.17850054992879,4.23255308154972,4.41789011503644,4.37776685523317,3.92426779356409,4.40217964787062,4.5014302496175,3.94618037809198,4.38169444210634,4.08307514437867,4.66761891673695,4.37449618877965,3.77043503796785,4.36040000244714,4.0232350994182,4.41398724173895,4.03733724813533,4.21726319139226,4.52864753595096,4.36333170370144,3.85969952227828,4.38737677908242,4.53600537079943,4.43537170146898,3.54426815137103,4.41944219891347,4.50335317454034,4.42889872345297,3.455934203529,4.46559871285154,4.19520631609385,4.60544119435418,4.33721691088347,3.78187893801901,4.14362043312126,3.98075101084635,4.20401884816985,4.16549037433575,4.11728581922363,3.80505080591977,4.36345993540719,3.93644944610843,4.12396157207738,3.94287499261844,4.32927399100224,3.98282794074894,4.14507745225293,4.0166085343421,4.25897148851807,4.00247747588522,4.15785250780838,4.08948061348131,4.43813065441437,4.06974327656722,3.88020428664334,3.77165538170933,4.40961867490302,3.92500907584476,4.20804512506652,3.96706458466552,4.43338096021414,4.03217726348816,4.30100552208184,4.01139099801569,4.4320802145726,4.1604402883751
14-3-3 protein sigma,6.84482161500229,6.68005539397476,6.62471560876576,6.88873643101922,6.70763596683048,6.75525931841912,,6.83654207097357,6.77893421936858,6.69660011910009,,6.80558370983191,6.64589129615465,6.54625906068553,6.51021683482971,6.74750895311919,6.7626578677549,6.48048144143882,6.5175687292115,6.67500460248274,6.68287473528025,6.56322516681686,6.50404946571692,7.00819355775494,7.37108179726735,,7.24331341144984,7.34661554016542,7.2848647914239,7.36437426039387,7.36824166299548,7.40536760436129,7.4357268767624,7.36032339394818,7.26290437762147,7.40518384655517,4.4324666878761,4.39702314502461,4.27262200802611,4.86968589737756,4.34985572132989,4.44534771899023,4.52294771795756,4.47023067755409,4.39503375978489,4.67415621286758,4.31796924619312,4.47005607037514,6.1098845111984,5.79106028929893,5.66526909872367,5.82008331938912,5.91732305853943,5.91535177061737,5.3810827523994,6.20103793036775,6.50386877177532,6.04957353570373,6.20494173773497,5.6436428344318,,,,,,,,,,,,
