protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_M8_1,DDA_NVG_D6_2,DDA_NVG_M8_2,DDA_NVG_D6_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_M8_1,DIA_BGI_D6_2,DIA_BGI_M8_2,DIA_BGI_D6_3,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_D6_3,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,1.6614197175855,,1.66147413904172,,,,,,,,,,,,,,1.65472429136567,1.43336453330005,1.66803379646049,1.41767334880475,,,,,,,,
[Protein ADP-ribosylarginine] hydrolase,-2.63665001954748,,-0.0623042630510545,-0.350460253492554,,,0.166708917801745,0.0272895407304045,-0.252738668985975,-0.136407065065867,-0.751014669721661,-1.0693913758059,,,,,,,0.207968323002119,0.090404100398357,0.00536553959559139,0.516679176399986,-0.433130525310491,0.745204822094581,1.18555217475813,-0.436944122853372,-0.835508382188698,1.26063712640369,0.979261709635999,1.15055512623231,1.21398784048147,0.162194877367207,-0.292204998603511,-0.730762136322776,-0.631489743716563,-0.820362758506236
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",,,,-6.43134800081492,,-0.919876809381192,,,,,,,,,,,,,1.44192694919546,1.53889841024243,1.78176932129293,2.20783889626765,1.23970867694216,2.09416378391928,1.50435663910024,1.09732486858046,1.41832063436817,1.4058025865725,1.56517924558733,1.05198839632217,1.96118009650454,0.619038649253029,2.36276149157181,1.80114435894896,1.77245698489026,1.56385748306103
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",-1.63837602487768,-2.27234240453811,,,,-1.81574385578432,-2.31735075320291,-0.526096311482685,-1.96991311485539,-1.94125997918326,-2.31474869997281,,,-1.5705467895489,-1.64396947087182,,,-1.64765096102132,-2.86570881354892,-2.67107811998086,-3.06499646547132,-2.68806321377488,-2.8958578775535,-6.36390010256144,-1.78685601719376,-1.6153916362996,-1.65565132551341,-1.38942798740017,-1.66760626500727,-1.49919131900197,0.00355849744996696,-0.00653708996713324,-0.255326289524257,-0.0383157784681394,-0.246625981985626,-1.95722787535923
"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",,,,,,,,,,,,,,,,,,,-1.78090478513422,-4.86317047699742,-2.12163043678593,,-1.53568178671037,-5.30856978268432,,,,,,,-5.08562756937354,-4.03825198433841,,,,
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,1.861847210542,0.679381111504441,0.959933822894321,2.08182359336379,2.01576623287725,0.358834233105471,0.0460372643902489,-0.0495530399726707,0.24709559842508,0.325787836430763,1.08679529944173,0.514635872197555,-0.705059410119027,-2.21868748863865,-0.585252736017613,-8.19572153525017,-1.58368294755536,,2.13910105077488,1.49995193720132,2.06180655568235,1.06797371469413,1.67395609049152,1.63471264586656,2.35207991447464,1.79069233719225,1.91476610488631,2.01162451666938,3.32421338891444,1.71726272218499,2.18603950758983,3.11558560111555,-0.128354729510442,2.86829648000003,0.0667546663967316,3.27072114020098
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,5.84256056179664,,5.9401384289594,6.13979093597152,5.94935289597684,6.17859293701228,,,,,,,,,,,,,4.78347850268005,2.93430246073079,5.09909172794786,1.98998625599875,1.71077356462146,5.63870208872972,0.0686464371813192,0.190474707686943,1.03972018437015,0.080189158535239,0.901442360330791,0.239391420645205,5.35018949976572,1.63914908459051,5.44119691619513,5.16479352079659,5.05255461566742,3.22947272271599
1-phosphatidylinositol 3-phosphate 5-kinase,,,,,,,,,,,,,,,,,,,,,,,,,-0.0550105008513132,,-0.0550105008513132,0.00234216105466048,-0.0550105008513132,0.00234216105466048,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1",,,,,,,1.12283287652467,0.794432063607892,0.663486609136533,1.41465420551569,0.63040863117598,1.44379983377297,1.55434149869648,,-0.0755074002890632,-1.19908356698315,0.936801501854263,,,,,,,,,,,,,,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",5.19469650706996,5.98107200064447,5.13907387649312,6.12907698230795,5.71759631547996,5.94314319021326,1.26257332186114,0.745863887435348,0.619409452392447,1.34449655373356,0.694887263765365,-0.431287144065453,7.08119277581978,6.40552507023352,6.3515901093305,7.30837895048411,7.2014368500378,7.25575440281595,8.17071648987878,4.29698489629463,0.847082518661467,1.3160271847774,3.19170745243629,4.09434099056198,5.40576121347104,5.346626306864,5.58914251080154,5.40039693428504,5.47799301094858,5.21460725532553,4.96948376398204,5.27631128827987,5.15187173819759,3.99148684835513,4.76706892017077,5.13332511663595
