protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_M8_1,DDA_NVG_D6_2,DDA_NVG_M8_2,DDA_NVG_D6_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_M8_1,DIA_BGI_D6_2,DIA_BGI_M8_2,DIA_BGI_D6_3,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_D6_3,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,3.82837321139454,,3.93371106113534,,,,,,,,,,,,,,2.48371364133749,2.44294930814651,2.61193804901432,2.47698822373934,,,,,,,,
[Protein ADP-ribosylarginine] hydrolase,4.35566371603349,,5.64019744662297,5.36522444429941,,,3.50037942164857,3.4388723763566,3.79044474388258,3.35090697249687,3.18802238253579,2.72214417607268,,,,,,,3.16597726483152,3.51645036659641,2.75902123077045,3.41929162703158,3.20490522812674,3.63534260575704,3.9525134156388,2.47382598071012,2.19530342292753,4.17851649232444,3.71378176420041,4.03438402807795,3.66514436048683,3.26172917823148,3.28198309689008,2.90934166471127,3.27404767020614,3.0428185547945
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",4.74322456749987,,,4.14456143314059,,4.41357373532076,,,,,,,,,,,,,1.80377755902736,1.89150139813534,1.99983232546068,2.39113890822742,2.34543679285227,2.63458826582258,2.31712708627237,2.0415137623031,2.63229114719191,1.88677566705472,2.20411619946149,2.18296208458413,2.63626585634958,1.46871043466664,2.86669029450004,2.89737162112772,2.30947209954839,1.50180504873485
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",5.33719752946846,5.35445399691475,,,,5.83823542060874,3.5405475859552,5.85109890088454,3.90392728366452,3.95783017288891,4.14113085926282,,,5.209943890065,5.32907423050454,,,5.31933506685394,3.7793190356076,2.13361962581599,3.50411598083653,3.64603734906896,3.42470615902222,3.94783956641452,2.92709876976206,3.40721952912509,3.4197710308183,3.20529979722031,3.51165211847717,3.92083721300971,4.02945546930181,3.85008990591067,3.53731958418716,3.95587085822005,2.67530579316272,2.87516963550138
"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",,,,,,,,,,,,,,,,,,,3.43705926793099,-0.65431433326343,1.94820285303921,,2.9536755677849,1.6786742616515,,2.21269013972605,2.77377347511316,,,4.27782034126978,-0.788931121587915,0.970666914723243,1.40251898240074,0.577315151886727,4.25429261499899,0.538734887317155
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,4.88240157526784,4.76060002974033,4.98020504877762,4.64276507626706,4.89142687992337,4.76467555969212,4.44285772541215,5.14391877753108,4.46520516419086,4.60040658768455,4.69219780889786,4.98495714602876,5.59172044910276,5.48047428488867,5.4553383183247,4.44665356241795,5.95967648721536,,4.96868932345943,4.73899101765901,4.85329584051535,4.58608502863308,5.08199140140264,4.52366355609714,4.5156502917621,4.71406144517993,4.53638496493844,4.90608158023585,4.64725635513601,4.76328703151595,4.41342202567036,4.65777211452232,4.56606321812262,4.6793965507858,4.80824078862237,4.96904208395143
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,3.27924967116433,,3.56970694816342,3.67197863387345,3.25525047927756,3.74048612078712,,,,,,,,,,,,,2.75552969897409,2.81826978402227,3.39465946329501,1.33879087827735,1.8170177495905,3.47748673274731,2.80462703518926,2.86565635828599,2.8107054820847,2.21793686887321,2.55450056881827,2.43712776038621,3.1932157325998,3.12529618777486,3.87834643528826,3.00599727074584,3.36184093548441,1.36405533532388
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.711193358804188,,,,0.189382930892099
1-phosphatidylinositol 3-phosphate 5-kinase,,,,,,,,,,,,,,,,,,,,,,,,,0.253078019528719,2.27382173330745,0.0563233644475538,-0.260391061127033,0.585025695470931,2.30227909653157,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46321058050335,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",,,,,,,,,,,,,,,,,,,,1.39057762933453,-0.145463629744724,2.19675624033991,0.00607996268906352,1.16959050126507,,3.55887092348154,3.00183287167384,0.0403174275804594,1.31034398370642,,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1",,,,,,,2.47346675233761,1.90966193010294,2.76255457521522,2.06041799066881,1.41625252934792,2.01165940675342,4.25509821213178,,3.50815389045132,1.97489428397687,4.74134162152508,,,,,,,,,,,,,,,,,,,
