protein,DDA_APT_D5_1,DDA_APT_D5_2,DDA_APT_D5_3,DDA_APT_D6_1,DDA_APT_D6_2,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_D6_2,DDA_FDU_D6_3,DDA_FDU_F7_1,DDA_FDU_F7_2,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_D6_2,DDA_NVG_D6_3,DDA_NVG_M8_1,DDA_NVG_M8_2,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D5_2,DIA_APT_D5_3,DIA_APT_D6_1,DIA_APT_D6_2,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_D6_2,DIA_BGI_D6_3,DIA_BGI_M8_1,DIA_BGI_M8_2,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_D6_2,DIA_FDU_D6_3,DIA_FDU_F7_1,DIA_FDU_F7_2,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,35.1464427051718,,19.0461687169605,,,,,,,,,,,,,,32.8015008198023,28.4529876679534,17.3251778711083,28.1681309661738,,,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",0.896223574938034,,-0.576686742805992,-0.212472100257263,,,-0.449999747583135,-1.42459789660042,-0.546784099595677,-1.38399299586747,-0.884043795649682,-0.710195580341707,,,,,,,0.570396737582162,-0.218154708491528,-2.40712278849081,0.768520016555077,-1.53666367157862,-2.49077925868982,-1.72607344040927,-0.437376956971714,-1.91810282640258,-0.631167301125015,-1.0250886466137,-3.41344052772216,-5.01536563246221,-4.69499735317575,-3.41771481482919,11.6041293966475,-4.03030408500046,-1.36291419046213
"3-ketoacyl-CoA thiolase, mitochondrial",39.0627624287194,,,39.6653179280811,,40.4824689733425,,,,,,,,,,,,,40.3486388136092,40.2590347158739,38.2875225368229,40.1714677895053,39.295151575908,38.5968120453252,39.5809535324214,40.3486740475507,40.5975779565055,40.3347840757113,40.4130448285642,39.6305447633768,39.5524820855907,39.8044457850648,39.8467309151697,38.896255639556,40.1098894800275,40.020037241897
Coatomer subunit gamma-2,13.3818777037238,12.2616848565034,,,,27.1751658185384,25.0045716631919,28.8234932624193,29.9726021860607,29.2393387123276,29.1008490388897,,,3.94850634555147,1.99909553873932,,,5.06332721503556,5.82091833590093,12.6193073904256,34.4921196108458,10.1718515043711,21.3680091978204,50.5322679576911,90.7247971621003,55.9981256348417,-9.16884470182686,59.9951211410482,15.7474517007266,-15.0053230710787,-20.1855644132956,-37.2651610349394,-10.7781937268887,-28.1095792319627,-7.5931885471368,11.7851065029991
Coatomer subunit zeta-1,,,,,,,,,,,,,,,,,,,45.8961808189199,43.9982339521169,42.0003667334039,,43.3543446717463,42.4071601186252,,43.6228989920159,39.09965282274,,,40.1804548462396,43.8720858185962,48.377210868608,46.25363058419,46.1364235920903,47.5720275382395,45.2574084081736
Coatomer subunit zeta-2,-2.2561211723236,-2.57733335211584,1.57004235509372,-3.75523140326792,-0.0985700749924429,3.96424594842477,7.87087043138073,6.26273496711982,5.15134782373057,8.39114683113744,5.10124371241127,5.89503086046612,4.53894786136585,2.92751712021466,6.2440199253137,2.71264378891994,4.12612339341818,,7.24142613572865,7.69578020138381,9.27100851903471,7.61633683899218,7.60924287721378,10.8527637724685,11.0208208619312,24.4039183785969,2.28087972817088,9.00906333141776,6.4423338987934,3.05689970930308,4.0240041255305,3.25941827045152,0.961080292331843,3.44660175856038,2.37422593741921,0.26631592308219
"Cob(I)yrinic acid a,c-diamide adenosyltransferase, mitochondrial",37.5959125223106,,35.575541843163,37.5109644249495,37.4069224814814,36.34365730672,,,,,,,,,,,,,40.3772093544447,37.5821688120411,35.2284033900774,39.1756435897764,36.4572529424362,35.3599132799216,35.4493045938725,38.2754990281116,36.3920333270003,37.5718749351992,38.2395532590583,36.8930275865414,39.871226272895,44.6913240502758,41.6506362345349,41.4953982190027,42.6726047792558,40.5753247604039
Cofilin-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.4879929453512,,,,60.50198309026
Cofilin-2,,,,,,,,,,,,,,,,,,,,,,,,,4.70495216186454,5.50784085756595,3.77219279146341,5.09655753655214,4.76296413119216,7.55616817902127,,,,,,
Cohesin subunit SA-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.6535749158578,,,,
