protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_M8_1,DDA_NVG_D6_2,DDA_NVG_M8_2,DDA_NVG_D6_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_M8_1,DIA_BGI_D6_2,DIA_BGI_M8_2,DIA_BGI_D6_3,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_D6_3,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,1.7569253998641,,1.75693789975589,,,,,,,,,,,,,,1.75840401629709,1.54931237052321,1.75547481153464,1.55234745181917,,,,,,,,
[Protein ADP-ribosylarginine] hydrolase,-2.2013609981587,,1.00276130948639,0.707445382049656,,,1.42739124487435,1.37405473735364,0.482613101486932,1.46230931791015,0.0877888662687795,-0.0257968831318325,,,,,,,0.237819852610291,0.565155323207908,-0.298803220072106,0.114763764178572,-0.30411519006621,0.322806252281448,2.75263282178891,0.268881683900709,0.126583103442237,2.51373336009,2.30724584660974,2.37076266076543,1.24732395469344,0.239374245677354,0.218669054488945,-0.141408748692727,0.108468200048918,-0.488672082437226
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",,,,-6.57145750646729,,-1.24400558848056,,,,,,,,,,,,,1.58716179880592,-0.668665456711134,2.10921187206071,2.48481499234592,2.04173186052833,2.19340162557013,2.21239847003415,2.16447446912267,2.09492675319865,2.56343106592402,2.09761724329015,2.19904638769502,3.84802831962628,2.64562245341208,3.9188528013611,3.65471421605545,3.87447026308168,1.86742957236624
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",-1.43572231413877,-1.3196484451894,,,,-0.924706255477964,-1.4573934812529,0.171632967237023,-1.27530578275908,-1.48431119468699,-1.052489534843,,,-1.46202806921555,-1.33372779807337,,,-1.43241533000747,-2.91851991413038,-3.00333815936011,-2.86758316073905,-2.68845410379429,-2.48109601765494,-3.79749860204171,-0.728994116637475,-0.535108882390302,-0.280231076644645,-0.24172665047221,-0.504602856440416,-0.424913651524404,0.302520260275665,0.34067895543399,0.112209394248289,0.314399488277294,0.0214811831663836,-1.44528514594264
"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",,,,,,,,,,,,,,,,,,,-4.16771506960578,-7.33555160158401,-3.93193321949793,,-4.37542184130243,-6.98305134475244,,,,,,,-7.16212731937909,-5.97762342543625,,,,
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,1.70968087097714,1.32994193277304,3.61877002017265,0.976986971576294,1.64789631878766,1.0936132446874,0.535194103959829,0.960949158209956,1.1994921450214,1.66962765222068,1.57719671236494,1.02631096115446,0.798248412260969,-0.410997365785906,0.90622997670275,-5.13262266765364,-0.0027543129330417,,2.12613316887106,1.23451411457987,1.80373543699838,0.940719474426283,1.66210245882258,1.04634978291044,1.61478430966138,1.11912635533039,1.35602385017916,1.27631007371708,1.98646786103668,1.05680062386618,0.750233652951108,1.15290371520461,0.820144966070071,1.05684043609588,1.05990241095643,1.40879530027083
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,5.39429341401771,,5.43078824942604,5.57157218814909,5.38802884281298,5.59067103136589,,,,,,,,,,,,,6.13282222380611,8.60776177466584,4.78593149367187,7.77213247015251,6.90388236667794,4.95125107239599,1.61017559152525,1.57386778228528,1.75247357547323,1.25788883666905,1.70821755676739,1.30238058518376,8.49522417689162,7.30175140155724,7.888955817385,6.71945646527832,7.09486194139967,5.86195740308319
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-phosphatidylinositol 3-phosphate 5-kinase,,,,,,,,,,,,,,,,,,,,,,,,,-1.05405420064821,,-1.05405420064821,-1.00632901214103,-1.05405420064821,-1.00632901214103,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
