protein,DDA_APT_D5_1,DDA_APT_D5_2,DDA_APT_D5_3,DDA_APT_D6_1,DDA_APT_D6_2,DDA_APT_D6_3,DDA_APT_F7_1,DDA_APT_F7_2,DDA_APT_F7_3,DDA_APT_M8_1,DDA_APT_M8_2,DDA_APT_M8_3,DDA_FDU_D5_1,DDA_FDU_D5_2,DDA_FDU_D5_3,DDA_FDU_D6_1,DDA_FDU_D6_2,DDA_FDU_D6_3,DDA_FDU_F7_1,DDA_FDU_F7_2,DDA_FDU_F7_3,DDA_FDU_M8_1,DDA_FDU_M8_2,DDA_FDU_M8_3,DDA_NVG_D5_1,DDA_NVG_D5_2,DDA_NVG_D5_3,DDA_NVG_D6_1,DDA_NVG_D6_2,DDA_NVG_D6_3,DDA_NVG_F7_1,DDA_NVG_F7_2,DDA_NVG_F7_3,DDA_NVG_M8_1,DDA_NVG_M8_2,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D5_2,DIA_APT_D5_3,DIA_APT_D6_1,DIA_APT_D6_2,DIA_APT_D6_3,DIA_APT_F7_1,DIA_APT_F7_2,DIA_APT_F7_3,DIA_APT_M8_1,DIA_APT_M8_2,DIA_APT_M8_3,DIA_BGI_D5_1,DIA_BGI_D5_2,DIA_BGI_D5_3,DIA_BGI_D6_1,DIA_BGI_D6_2,DIA_BGI_D6_3,DIA_BGI_F7_1,DIA_BGI_F7_2,DIA_BGI_F7_3,DIA_BGI_M8_1,DIA_BGI_M8_2,DIA_BGI_M8_3,DIA_FDU_D5_1,DIA_FDU_D5_2,DIA_FDU_D5_3,DIA_FDU_D6_1,DIA_FDU_D6_2,DIA_FDU_D6_3,DIA_FDU_F7_1,DIA_FDU_F7_2,DIA_FDU_F7_3,DIA_FDU_M8_1,DIA_FDU_M8_2,DIA_FDU_M8_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,,,,,,,,-38.0249187026657,,53.3078829311678,,-19.7716538144274,,6.83722812900526,,-0.0322282919408474,,,,,,,,,,,,,,,,,,,,,,,,,-1.53675905151712,4.99776611860412,-49.169904437898,33.5157103719041,13.4827416579454,41.5994984994895,-22.3706994950189,-21.8514718184695,,,21.4218391541167,,,,,,,,,,,,,
"39S ribosomal protein L18, mitochondrial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1042931503685,,25.7761120950986,,,8.03184930551447,19.9377361966172,,-2.69541607501531,15.6609602262911
Archaemetzincin-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6252026564997,,-24.2625774098565,,-5.72779147310887,,,,,,,5.94960952264201
Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D,-25.3284082700983,6.67048288996005,9.07977855660224,-7.40981240415869,-3.13907043165979,-43.5284865392934,16.4309654085671,-40.2770825592875,-19.850637068086,-42.638179040315,-0.398034595443981,-7.68623417009181,-4.66538878898143,1.27871322535399,-14.0027409787078,-15.9331717974307,-9.56187717936702,10.9357380039147,-2.75380596421628,-5.57819685681418,-6.24232390142478,-3.61848451845043,4.55257478974741,-6.59802543088325,4.96040867384588,15.545348772212,-2.39503619386358,-0.997434736867321,-2.55044479562631,12.63611144022,10.988746517586,0.591360851298009,9.8810330523584,-4.06866555198327,-1.75760062038992,-6.48211122972028,-7.30015172581657,-18.21895435711,-21.2474763812585,-5.31547024383708,-18.7937488753558,-16.6406985780485,-13.6718364800615,-18.9331024673146,-12.6023853819496,-13.8252070345065,-21.3642372431387,-8.39393282323745,-21.4130046082733,-3.04805311817001,-20.8709780486804,-8.05179090097033,3.7303040228494,10.8384972145647,-16.8890356770102,-4.65717051048816,-6.54876687119484,2.5704445060829,0.330414516068416,-26.2603077918505,5.68450343258012,-24.035270563319,-23.497746618283,-17.1395235375577,-5.2543617163467,9.75155753974028,-10.1212243257388,-33.8807677595473,6.48483493253331,-29.7480984095032,-35.8504584283626,14.528285549314
Solute carrier family 12 member 4,-99.225431068695,21.1643714056469,117.883383525096,-4.64620584870549,108.099324162915,-135.427288973082,121.920107723894,-140.534706491771,-101.022384078056,-142.271268959938,1.21572309535845,-21.1079807911028,-14.5615381857741,-1.7702553489313,-1.61547993698848,-22.6227046563036,-21.2244880316888,35.7376387249483,17.6406003886025,-4.18270905244683,19.0706477821268,16.7147724278121,20.4282512010315,3.42075949914096,-42.3676318530629,-10.5094728742226,-18.997474405839,-14.2153066812034,15.0833493791847,-20.1291137227739,0.825029871954269,19.9354947197872,-34.5208693894464,-15.6901876385935,-5.8250141838577,-31.3233843937788,4.9484920706039,-11.5372148743789,-26.4922663356887,30.3908067137219,-4.38138690466547,-2.1060937173339,5.16168513170823,-1.67170572536025,35.4055167527135,-7.00065202836923,-21.5975187507615,25.0247253023725,-44.8977720763104,-5.51616718276102,-89.6829146359192,-53.4264027428756,24.3202486606096,25.6946925106061,-12.6389558220648,26.1027356981981,31.4177091338701,24.4402174744133,-33.0608041790741,-62.8852555827669,24.8507320133998,1.31173717586498,-23.7971716488573,67.8425802327674,104.436563485027,126.666063913548,43.0511720080567,-65.1718555634352,140.750065695001,-76.7398663656246,-177.538210071082,103.123255281158
Solute carrier family 12 member 9,-38.8792391976685,8.9860407781036,16.9718311413936,-29.2957883575132,4.23879126040952,-38.2312917170929,,-45.6849786741979,-11.4547124619739,-46.5689688260368,,-2.24194594236647,0.661395649920822,-0.458900250184077,-16.0432132289446,-13.4401498846221,-12.4473266879018,8.09024796983841,0.609090383279052,-6.90304452369019,-9.42545264171599,-0.730096148334684,2.42224947442729,-8.53884128632458,-17.3434511558028,,-8.39349204208486,-5.03350309492702,-5.90140596984558,-9.92376989236991,-10.2171142797593,-3.96547219578286,-10.0960708777131,-9.18805968815022,-7.46062080112544,-5.83802383462465,-0.500816028112194,3.26993667444142,-2.16481751302643,6.85529658426172,4.58798985234025,2.48498373123307,1.7197975977915,5.28945718906509,5.22241952834299,4.53711017790604,1.37593412726655,3.28701693593501,-14.7405565582246,-12.6332719538758,-34.3533415426366,-8.51333069058785,-7.88453425496073,2.34132005986091,-19.7747468381243,-15.9622062702251,-12.3817052656326,-0.698669763441695,-16.3242499552714,-34.4838995766226,,,,,,,,,,,,
Solute carrier family 15 member 3,79.1559316644328,-12.6897554721979,-99.0075948120518,8.1195966045352,-88.0499043749044,95.133857887189,-95.7816849859128,108.487402709536,73.4817865679585,109.18156560593,-8.79057467819187,6.89868154718454,-2.44840402057982,-10.5951751079562,-5.44406933821399,8.68251003453779,6.71219988369969,-37.701564475305,-22.4778792871811,-10.2719866256347,-23.2091678366955,-27.0158925589324,-26.5017263171907,-10.8165661496865,23.5166341947179,-1.91525813258154,2.40386494866614,2.61932026836662,-23.746228268654,2.89623091093076,-10.8701090012432,-27.0143943062477,13.1501266070552,0.049965942222518,-7.39458128488619,10.6558254365336,-17.7784059696063,-5.70537140050487,6.39515996634837,-37.6312450170023,-12.0692313686671,-18.3085130177251,-19.0734161429344,-14.0118695911373,-48.1925141490222,-9.30054030630926,0.17256172764298,-38.2429475285724,37.0720889814013,-11.4379146485416,69.7143683214111,40.2841930164113,-18.4492224328197,-25.8573610233039,0.737612728911764,-19.3915659858403,-35.7707897075876,-21.7499620522352,29.7857528541929,57.7860779377791,-24.3437229978398,-10.7300192849871,19.0510096264211,-70.7661536574224,-91.7285978064398,-92.6789036685025,-48.6754114776414,55.7250679344805,-90.5433054614557,44.0707466997052,139.695370021356,-67.9486580577869
"Solute carrier family 2, facilitated glucose transporter member 3",31.9145749353163,9.03187562964444,-52.4414390437857,-11.9021114059407,-57.7512009834808,30.8563618378279,-43.3840822585166,40.106931112429,52.2353018589681,38.0762201991143,11.1417174676433,3.87757276444472,0.810835130840458,-4.12363914148567,4.84144680929507,-6.29151100461778,17.1451149853013,-12.6443599650624,-8.80357417607999,-9.40774701545216,-22.7596561882243,-16.7058768350321,5.69199260952291,-12.0937481276121,5.91152672805727,3.04819882911464,7.60708933011409,6.2896279844625,-11.0219403131878,4.42537588693855,-9.96773975522816,-10.9929949554376,10.085862274705,2.23008447463713,17.5597838198735,10.2015174554978,-11.2427199237,-11.8913817538549,15.7273627102583,-22.4707863965888,2.32104471230089,-15.6333178764244,-17.2015566060961,-16.4166389807034,-31.2640369133994,7.85576219813538,10.5081274641768,-8.96149662877229,29.306305165255,4.65697643018371,38.4580841312431,40.5939641759391,-3.94435576308136,16.1425256873589,-1.9011040275606,-10.619997377671,-12.1589239524235,-7.28079622273326,24.6966675991996,16.0414492338584,29.7530323225221,-15.8061808263594,8.17051923881418,-50.1936846311511,-36.7969093160471,-39.2741477689357,-22.0603662504709,19.155955704143,-50.0661588999014,21.0058846817848,96.4809487200233,-11.5834488699205
"Solute carrier family 2, facilitated glucose transporter member 6",,,,,,,,,,,,,,0.486059570412119,,,-6.50474256099337,,-4.28019569784177,-12.6010694807292,-23.9535304308114,,-4.11311033590782,-13.8153559396009,,-1.13855835641051,,,-15.024252057882,,,,,,,,-15.1110568651091,-13.3692879705774,-7.75471733030885,-19.3038005780461,-17.0401090570699,-15.3712468842577,-19.1789429513476,-16.1338609807904,-27.0227454815698,-10.2767822265177,-12.1543479982086,-15.1858329838133,-0.48208181539861,-0.776270703159543,7.55807125996218,18.4235334159583,-4.48719455188782,8.35101155694787,-13.1444628469081,-19.6765377311716,-21.8842028674383,-3.87536755523348,16.2366708625609,-9.44401517379082,17.1088221609867,-24.9239221145604,,,,,,,-57.4129331814625,,40.553441114795,
Solute carrier family 25 member 44,103.873991281719,-13.9483321392166,-149.85249344928,-8.10610397857623,-141.055339580808,120.86537789755,-140.611510070118,138.545388926592,111.164698547593,140.267716285793,-9.5563807506368,9.02367632363621,-0.744671394282397,-9.0392199743899,-11.0020292164889,5.6849961245755,11.5032561345225,-43.7652804184968,-28.4624380372754,-11.9056964993424,-36.5091639802594,-35.591177800326,-32.1820481123859,-14.9185918686907,35.4846775772737,5.08155006707147,9.67247285841381,12.8491815197226,-29.1759572092941,6.98001817975388,,-33.6925489829524,,7.56551987689299,,,-29.4216697286681,-19.3700476481009,,-59.9002661057145,-29.3466447787745,-35.3351111818178,-36.8650794436027,-31.4926890131152,-77.4454632216134,-21.6771816445096,-11.0701261089929,-57.1147303100026,51.7777527523059,5.41340884342193,95.3315881950924,55.6900353599502,,-21.7970320287827,24.0996702225087,-17.607106219565,-42.7324279458439,-15.6961761480692,,,-16.2604866368945,-15.121171087415,21.4348714055814,-107.738924411715,-130.073372368633,-137.073043787144,-63.8667025147683,79.8192423978213,-140.939174858656,69.1441391293824,212.211306376113,-97.9293202526164
