protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_F7_1,DDA_APT_M8_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_F7_2,DDA_APT_M8_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_APT_F7_3,DDA_APT_M8_3,DDA_FDU_D5_1,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_M8_1,DDA_FDU_D5_2,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_M8_2,DDA_FDU_D5_3,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_FDU_M8_3,DDA_NVG_D5_1,DDA_NVG_D6_1,DDA_NVG_F7_1,DDA_NVG_M8_1,DDA_NVG_D5_2,DDA_NVG_D6_2,DDA_NVG_F7_2,DDA_NVG_M8_2,DDA_NVG_D5_3,DDA_NVG_D6_3,DDA_NVG_F7_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_F7_1,DIA_APT_M8_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_F7_2,DIA_APT_M8_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_APT_F7_3,DIA_APT_M8_3,DIA_BGI_D5_1,DIA_BGI_D6_1,DIA_BGI_F7_1,DIA_BGI_M8_1,DIA_BGI_D5_2,DIA_BGI_D6_2,DIA_BGI_F7_2,DIA_BGI_M8_2,DIA_BGI_D5_3,DIA_BGI_D6_3,DIA_BGI_F7_3,DIA_BGI_M8_3,DIA_FDU_D5_1,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_M8_1,DIA_FDU_D5_2,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_M8_2,DIA_FDU_D5_3,DIA_FDU_D6_3,DIA_FDU_F7_3,DIA_FDU_M8_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,,,,,,,,17.4389977933112,,17.2822459610971,,17.3329490463805,,17.577198926536,,17.6445866425715,,,,,,,,,,,,,,,,,,,,,,,,,17.9737215405148,17.7925344776098,17.753337753074,17.6359444518185,17.5124077836718,17.8544657289382,18.3986396130755,17.7976378170653,,,17.9370162282487,,,,,,,,,,,,,
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1664095112369,,16.7379191670994,,,15.9933144350609,16.6040956532887,,15.529452619479,15.6676436371158
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9184211281697,,16.9754428471985,,18.4652716272802,,,,,,,20.6474533359854
"10 kDa heat shock protein, mitochondrial",21.1787365607397,21.1103036448956,21.2222848360114,21.3180648944886,21.1643592088082,21.4421132523562,21.2211012521092,20.938646669505,21.2006106825681,21.3103114866238,21.3823390371726,20.9366361857193,21.1772671087147,21.1872304345591,20.9328117580904,20.8445993030994,21.1293751819339,21.1527078544361,21.1758265525804,20.8503309934547,20.64707461942,20.9852505422109,21.1045774732128,21.2139907890054,20.8041235969899,20.8891982671493,20.8672795970853,20.715001783528,20.6166586185517,20.9279194989468,20.6737178023324,20.5854031731327,20.8586122480945,20.7851947059019,20.8997090389063,20.6210743686236,22.1740001987259,22.2463437965317,22.2969017723503,22.0638353622239,22.261654121362,22.3072467864155,22.3265055803557,22.0561747605324,22.2433088066811,22.2665023352914,22.3053565331122,22.0936004748465,22.3050180118575,21.9785237856267,22.0289844316756,21.7839806699032,21.8654435534778,22.0135268818619,22.4933257308094,21.8995549598924,21.9138564984831,21.9984559036332,22.0392499413512,21.8367919156786,23.744129651138,23.7967612989661,23.8361439061254,23.6314229382444,23.8085950309787,23.8990392914348,23.888065551616,23.6378061315565,23.7687084860661,23.8423213265324,23.7600440799364,23.6238629153854
14-3-3 protein epsilon,20.7164963086396,20.5020828624448,20.5934228717976,20.8387677543111,20.7068671098033,20.5461407550593,20.5437982038354,20.7240605211013,20.6153836259673,20.6031112413635,20.5664307239169,20.6821260836128,20.6971904771349,20.6521421254029,20.6369614826846,20.7667371190033,20.5906806631823,20.5604370555279,20.5761724181899,20.6869752268454,20.5080904552814,20.512328732906,20.6370105376943,20.6599550063327,19.9818243692497,19.5737391294768,19.7538204302677,19.7421654360663,19.8016233097288,19.9107343393631,19.7732761190856,19.9590092609278,19.9361668868583,19.6784123009244,19.7420542886469,19.7177795262678,21.4224968898337,21.3649354078882,21.3809653574277,21.4467756228252,21.5002010105269,21.3010071229599,21.1924181664393,21.2018051211204,21.3655998709872,20.8640993788667,21.1159707680564,21.2326131685768,21.5593871864575,21.1191518786076,21.1464835421909,21.2446950434966,21.1718542894367,20.9875225915755,21.5862120493014,21.324023568213,21.2298022752939,21.1713433358585,21.1837240533486,21.3265247790435,22.9322213371583,22.8244525623818,22.8842566431805,23.0213675613129,22.95155114452,22.9283777458614,22.9460895715734,23.080806177851,22.9267743327494,22.9466092902152,22.7706532573307,23.0751647664934
14-3-3 protein sigma,21.7269445415558,21.454912316657,21.4446602804445,21.8056471125041,21.5767871485675,21.5635390823967,,21.630435094371,21.5918777868371,21.4594246130996,,21.5752526868197,21.5883895822453,21.4943920588229,21.4525520641222,21.6722560649836,21.5575652972622,21.3932467394745,21.4663453862546,21.6575143581943,21.5868306697975,21.5514682484992,21.5048358978563,22.1441065418189,21.4843052835493,,21.3868812149003,21.4672962278209,21.4355291346986,21.5033702263623,21.5108136929278,21.5917099593633,21.6141567061878,21.4104452457266,21.373244522105,21.4476209446306,20.1876863487142,20.1591624949854,20.0265523045069,20.6893470437428,20.1827023949165,20.2677329989291,20.3717632077811,20.2653330609335,20.20774587868,20.4632378412764,20.1511674647086,20.336146412955,22.0592138236296,21.3680627565653,21.2989799206143,21.43459668794,21.4422756770321,21.5239212252216,21.3457222768836,21.9298352671196,22.0759517068925,21.634584227194,21.844356907375,21.3398558947842,,,,,,,,,,,,
26S protease regulatory subunit 8,18.9069677432712,19.0194934352338,18.8073978684322,19.1557589038815,19.0444974960594,18.8086808902939,18.9741078979253,18.9806869318623,18.8533383184409,18.8594043822274,19.036357253537,18.9864423693844,18.6572103015804,18.861234106733,18.9174946606306,19.0178546916035,19.339947044428,18.6418543562101,19.029333377647,19.0400952665348,18.7440327618828,18.9912270516943,18.8677995006606,19.2471197050988,18.3633870268417,18.2233592484682,18.3930491501178,18.2744557946022,18.3257581556914,18.4589137900359,18.319378648422,18.3894927486296,18.3664427673635,18.3045195174523,18.3293655734609,18.0906384574901,19.8759957539512,20.0578926953642,20.0995078937545,20.1742873962896,20.1973632357249,20.3217852799604,20.2083289959184,20.0499016756473,20.199281797477,20.218745294315,20.1683315735544,20.0744034484968,19.8638633435292,19.4724290954175,19.5466001106944,19.488432828367,19.338267302547,19.533480797498,20.0125688894935,19.600340363696,19.4806503745834,19.5032144624078,19.6186757165918,19.6093368441664,21.1691027049011,21.1748487586049,21.0446715702522,21.1745866491744,20.8180349613157,21.1956936089158,21.2966351810572,21.2141825877723,21.1176149461854,21.212978134826,21.1245410686575,20.9473249689886
26S proteasome non-ATPase regulatory subunit 2,19.4263001657713,19.2092062838105,19.2244595235689,19.3004181354028,19.2711378942379,19.1874516127529,19.243774461714,19.0654453022864,19.1740179420981,18.9916687650785,18.9887247242062,19.2159354047832,19.5193374760773,19.5063203613165,19.5513406445893,19.4558916424821,19.4130555893641,19.5232961206725,19.5228201383966,19.4347755130787,19.2311938361476,19.5681784303503,19.538964932418,19.739106601247,18.7324479274296,18.8390094270434,19.0137607816117,18.8256546203149,18.9365376893656,18.8035525344078,18.8833135251169,18.773572206209,18.746181104311,18.6002150867383,18.9488589372492,18.8043386836803,19.9532448114486,20.3362118655845,20.2448724451937,19.9024443631321,20.20836943881,20.3307909888765,19.6870558831438,20.0371929963538,20.2322319471711,20.4652720081965,20.0015682788471,20.3805642380738,19.8273739598183,19.582539052171,19.5805449086523,19.4800034282054,19.38555844475,19.6074209157148,19.7470127638996,19.6140373958151,19.4321725587709,19.2661626708156,19.5464541406829,19.5233846505237,21.4871510320117,21.5704922662111,21.631228654471,21.5667707990949,21.5158962959913,21.6314840737297,21.7190329623224,21.5490481752991,21.4967941294532,21.6222476296979,21.4051599384451,21.5238164449981
3-mercaptopyruvate sulfurtransferase,,,,,,,,,,,,,,18.5298938289257,,,18.469661366174,,18.6018349529943,18.5874655615972,18.4351751901028,,18.2786331915595,18.7048817645675,,18.2725287029285,,,17.0613787878961,,,,,,,,18.2848266559582,18.2688107946143,17.6915954565868,17.8752464219898,18.3781489552334,18.8662283732378,18.7407695013231,14.3045812499272,18.9234026208791,17.7950987495548,17.6289831396632,17.8065665306804,18.8084162745111,17.728612980612,18.6938175449621,18.9248955644305,18.4795155296733,18.8693553941195,18.8731471155135,19.0556690103388,18.6502833903273,18.7388471610729,18.5553077861337,18.9943713016899,19.6649506050428,21.9033352171908,,,,,,,21.7616680012155,,21.9043179578878,
"39S ribosomal protein L18, mitochondrial",18.1500786414785,17.9062318975689,17.8166518858793,17.9546850721042,17.8340713857527,18.0275640790251,17.4047906468555,18.1098392163568,17.5775242960657,17.8380905539571,17.5365183258297,17.7446954521037,17.6736157754009,17.6257001535108,17.4075486606287,17.1912191768593,17.5256376732413,17.5889264539409,17.7319936026145,17.6595116489455,17.3936539629835,17.6925590224765,17.8125913667324,18.3316035983677,17.4475286129486,17.0944273049176,17.130932162605,16.9625036253589,17.3475022565411,17.4978939583345,,17.5016111546278,,17.4147661345699,,,18.9723795609279,18.7351666135095,,17.9837868863406,18.9880946190465,18.96131756529,18.948021243336,18.93200624276,19.0082451619372,18.6563060727686,19.0903801617748,18.2077721364506,19.8848153891906,19.3211266062647,19.1927315221078,19.2364879372482,,18.5902547279238,19.0513672431697,18.659303866115,19.523351452748,17.8859380401262,,,19.6999465323137,19.5097307931168,19.5481719921708,19.4870108586998,19.8257968593129,19.6399164749442,19.8267164559813,19.7643546192356,19.7387631785684,19.6048895202372,19.3552631582987,19.49609263945
