protein,batch1_group1_rep1,batch1_group2_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group2_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group2_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group3_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group3_rep2,batch2_group1_rep3,batch2_group2_rep3,batch2_group3_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,-0.341133386770633,2.37650534796056,-0.750630690377967,0.393879365294072,3.179049797868,0.40603194487384,-0.0527459785234381,2.46991836601841,1.10892549784923,-0.0411939800036576,1.90253612579261,-1.55284042248437,0.63187576674331,2.04844751399625,-0.941745049482985,-0.590681786739653,2.8584626722006,-2.62212446582086,-0.0647595721480032,4.16156080856429,0.151329749023596,0.455880891794648,2.85914738414776,-0.429046886959709,-0.391121319646644,2.42884915452857,0.221101222570161
2,0.454152116152801,1.65206918145369,-0.751339992128333,-0.565787243919396,2.66387501432013,0.016138105581172,0.111635127766595,1.38563220444535,0.577462746864657,-0.806523606101325,4.31039834602714,-0.0856166045447377,-0.430052123682358,1.65313938449169,-0.562614781624151,1.23657572978368,3.24635873019163,-1.29870733337633,-0.102770072945705,1.26699671198649,-0.0711127794902007,0.588426795273947,1.15850284787436,-0.189695058386508,-0.485656722328243,0.658136871595767,-0.90626122282994
3,-0.322762690465867,0.842561810994722,-0.3115175262351,-0.0586148321385611,2.16529117156306,-0.385288763141296,0.381377522604429,0.645777810371078,0.185855420412092,0.0857780764512066,1.80042404966948,-0.561527413989703,-0.0462313547732229,1.87369472026102,-0.301598614249818,-0.0395467216779846,0.992450256077465,-1.53457504704479,-0.272936132739704,0.954645106056993,0.705540458088598,-0.0868245697511538,1.62297451515396,0.545414618249493,0.359760702490857,1.55376206095677,-1.58355714214694
4,-0.259833911960031,1.08019502623566,-0.660617609689465,0.146310922238671,0.879907467247897,-0.454780815092263,0.113522989721361,1.14774184814481,-0.0946429057141751,0.0690393163035079,2.33704904453868,-2.209350629906,0.140025691950076,1.26391359920612,-0.962418903836118,-0.209065008253585,1.87025820704816,-1.45527182094629,0.0862856551495606,2.55768926633596,1.13638871723586,0.149567311619315,1.61625742357952,0.368896896439659,-0.235852966768876,1.52788383529544,0.808030562128324
5,-0.3675860823964,-0.177652495224912,-0.535654838168532,-0.217620089607696,1.18700098587083,0.0278887206032712,0.585206172004095,0.593715031417044,0.57745736955926,-0.220554371866124,1.41577380020885,-0.887557403447639,-0.239349513322157,0.951382072453685,-1.84837495884575,0.459903885188282,1.22898365439483,-1.88327385343693,-0.854035926508871,1.42143514301132,-0.770855104500269,-0.123763982605119,0.383511652423391,-1.20934417943947,0.977799909113991,2.1520391576198,0.459520984929792
6,0.273026886020935,1.26313905030712,-0.6616164101581,-0.188993566250863,3.04498281389286,0.0777615767696043,-0.0840333197700707,1.96899384372978,0.149053643340692,-0.328614498232892,1.56147428738948,-0.543466075791503,0.558439037033976,1.53351243548062,-0.753994964706316,-0.229824538801083,1.20077234603147,-1.14190272666459,0.0297383240084637,1.45484996856366,-0.113229487846934,0.808641754722214,1.92602815300953,-0.235074171171738,-0.838380078730678,2.12266098319834,-0.248751161096474
7,-0.0546866118498999,1.05036155295909,-0.691355693281633,0.334492769388304,1.27281433311163,-0.44289716703843,-0.279806157538404,1.65038341828155,0.443415356014359,0.257088038175042,1.21352543163051,-2.21578947688667,0.430745452818009,0.171499703701151,-1.00447421301929,-0.687833490993052,1.0612341595338,-1.95076231443966,0.677711045709061,1.79263722856246,0.358410030736365,-0.264020594061285,1.20347905584782,-0.421333962484741,-0.413690451647776,1.65523475988713,0.831351620716125
8,-0.4439523609411,0.428993488587089,-0.295534534037033,0.669784912590004,1.93657230336013,0.719706339418774,-0.225832551648904,1.91455650187545,0.28628016935856,-0.198387833397258,0.373440932762313,-0.56216569488617,0.328831230804809,0.622877751638355,-0.665013747143081,-0.130443397407552,0.7312544125149,-1.87579574500356,0.0156452407986949,1.23377005277429,-1.0207974713121,0.150871670820949,0.87372591241156,-1.28709319665851,-0.166516911619643,0.533824310527967,0.330718465156559
9,-1.2978832142168,-0.308969853398512,-1.45688456924263,0.278015093125404,1.10788658750413,-1.25647432852693,1.01986812109139,-0.241524314537156,-0.542948813811741,-0.232877056972324,1.90934214879995,-1.62268963820974,0.126481061001543,2.01153790998999,-0.0111124893862513,0.106395995970782,2.40974660124084,-1.81031045273742,-0.250154654354304,1.11859513549549,0.720233172551898,0.533954429338149,0.0844385648752573,-1.78293340106301,-0.283799774983843,1.77302839076467,2.31571998394296
10,0.614088121645633,1.13091337415092,-0.0638823815447998,-0.276879915501862,1.36895559331176,0.427230792995903,-0.337208206143772,1.28653125935538,0.84418976492119,0.511123097326742,0.361218246498009,-1.76949709966897,-0.0699538954496912,1.44587565310065,-0.995669072464787,-0.441169201877051,2.1617856780194,-1.39879992208126,-0.440270818126404,1.64591960184499,-0.210060769533802,0.276901422965448,2.20674387774396,-0.464854033427407,0.163369395160957,0.927695572212969,0.216770797779258
11,0.442727257984266,0.829477060002755,-0.819912842195567,0.020270623089373,1.6211907061279,-0.535719120953262,-0.462997881073639,0.54410104730241,0.305589956834826,-0.343464807842892,1.88484082196428,-0.0298263426419032,-0.122431803952023,0.170858498715321,-0.194441589100716,0.465896611794915,1.19494544103377,-0.704466814735691,0.655973352815963,1.00810345088606,1.11415679224016,-0.848974172168884,2.02616127167053,-0.613265635837241,0.193000819352922,0.165941268006937,0.692797418461225
12,-0.360099112571234,1.07289723033665,-0.387777156802068,-0.381883474556329,1.83818272281969,1.11350162837134,0.741982587127562,0.61946878206011,1.04193635919642,0.174020259325643,2.80285792855241,-0.991175984157071,-0.219506282510791,1.78826401649295,-1.62303323367938,0.0454860231851484,0.349219974611399,-1.44900220673896,-0.840090752757737,1.57537523202826,0.183322359795265,1.20375680213381,2.00548441969502,-0.689973242934243,-0.363666049376077,1.53953008421563,0.356770975380826
13,0.385063443561233,1.13916667494982,-0.699924371915599,-0.154118729679062,1.49393692344906,0.990562822660404,-0.230944713882171,1.98498824897858,0.123985829002692,-0.18598369432639,1.07602820108618,-1.5043278514246,-0.334492340344126,1.72352693853452,-0.320265968581816,0.520476034670516,1.92386642917087,-2.02903702792769,0.138123647120062,1.90125873970626,-0.107111339297536,-0.254347930145086,2.31947528891422,1.36001433592186,0.116224283025025,2.08840593391774,0.578896514954626
14,0.0552651992643005,1.34746696548949,0.186438364195667,-0.316702439970595,1.73161881887583,0.391275795557272,0.261437240706295,1.48588109666215,-0.248366799225242,-0.444441281592325,2.15249377807395,-1.46255386469154,0.0256145303911417,1.31756246350158,-1.30736719886155,0.418826751201182,1.44908579851073,-2.03773259289453,-0.640407028118371,2.28074742637302,-0.671643462451468,0.937730636953181,2.15849810053429,-1.05448950243937,-0.297323608834811,1.4696291207325,-0.505875634344508
15,0.357459881440201,1.36595658276399,0.0904834850983667,-0.00875668155209475,2.05276240535503,1.49285724219577,-0.348703199888106,1.26450031406144,1.47126201605356,0.217989154399441,1.44705459641471,-1.56327841362687,-0.32118835585079,0.762194433705552,-1.39590017375469,0.103199201451348,1.866737888809,-1.83893423810296,-0.242871893878937,1.41087231831936,0.951308376943763,0.843959906044614,1.94371576654523,-0.410696315694639,-0.601088012165677,1.54690668942124,-0.0626749231311754
16,0.799136470989967,-1.03483116248444,-0.334008145751067,-0.0918365302027278,-1.2273333835872,-0.490061530988262,-0.70729994078724,-1.33345169527409,0.515925768029327,-0.740600719669725,-1.45017075220506,-2.54923510434824,0.198814826527744,-2.37955161768292,-1.66391075658435,0.541785893141983,-2.67082817242507,-0.942353643011026,-0.328692015112472,-1.96852829943547,0.249802545463229,0.627417998204981,-1.59264032476431,-1.47272220403387,-0.298725983092511,-1.3565458952528,-0.60099791933311
17,0.311522817374001,-2.80550280716201,0.187350172558767,0.401342803910405,-2.91891382846577,-0.608637914701729,-0.712865621284406,-1.54387945798316,-0.212149550819942,0.0455834938919404,-2.30231305298419,-0.616377634806971,0.26350266985791,-3.23333630518195,-1.80266566663108,-0.309086163749851,-2.6233696060339,-2.26145618836196,-0.400326067719005,-1.11269234860581,0.151952792561499,1.01346150822005,-1.64335921479754,-0.312461769727205,-0.613135440501044,-1.41919325847093,0.0407098112680604
18,0.0643872779810337,-2.74132168494018,-0.1592470810662,-0.547232883302762,-2.05933644811694,0.416149506433206,0.482845605321727,-2.08470037931282,-0.111541741221809,-0.585583725324725,-3.30469566113875,-0.310666025197837,0.252634751606043,-2.00935671990771,-0.722858500385752,0.332948973718682,-1.28279793513927,-1.01563045340923,-0.159683305982103,-2.01955039715431,-1.2977407701087,0.896134024918947,-3.08600761345184,-0.307835525141005,-0.736450718936843,-4.08932260095043,0.539427155700061
19,0.148860318408167,-1.14137882930965,0.994089224713836,-0.00259936112682802,-0.684976227119702,-0.87439758326166,-0.146260957281338,-2.09582056061309,0.210648392087225,0.0307652490917407,-1.90456096376949,-0.498063309579669,0.0569458331203094,-2.65932280986885,-0.828370748376282,-0.0877110822120502,-2.1402860793981,-2.34193415548416,0.670939760111462,-2.02901434862024,0.477713736682864,-0.350434915269986,-1.44328565366407,-0.55482598129214,-0.320504844841476,-3.07874572304556,-0.658255764835374
20,0.255405534701231,-1.72854963874488,-0.667122138585501,0.0834277719049394,-0.765526430502937,-0.0445165435837946,-0.338833306606171,-0.935709186142221,0.39814125598989,-0.718417070413326,-1.70076868692205,-2.34569552971364,0.444189456294044,-1.34704760553481,-1.29410664531425,0.274227614119281,-0.386595041670269,-1.93052271141762,0.073861120714394,-0.567417264677408,0.470685548379199,-0.0285223541490502,-1.62134939068084,-1.04854048450391,-0.0453387665653438,-1.33530664211833,1.51531869327696
21,-0.360695488054231,-1.09351643802154,-1.18340108875146,0.175945654129771,-0.0652979703224013,-0.0968057736589598,0.184749833924461,-0.732618641372087,0.680137734816425,-0.0110153918314246,-0.967448493285252,-0.464367709366036,0.152395564354943,-0.526008601751913,-0.737317166465751,-0.141380172523518,-0.845197900544766,-2.11456295659802,-0.133927764606073,-1.11469978692297,-0.17104157313587,0.876885069995682,-0.111162612312109,-1.14976059209577,-0.74295730538961,-1.1017327707844,0.868333845047092
